Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,orientation.x,orientation.y,orientation.z,orientation.w,orientation_covariance_0,orientation_covariance_1,orientation_covariance_2,orientation_covariance_3,orientation_covariance_4,orientation_covariance_5,orientation_covariance_6,orientation_covariance_7,orientation_covariance_8,angular_velocity.x,angular_velocity.y,angular_velocity.z,angular_velocity_covariance_0,angular_velocity_covariance_1,angular_velocity_covariance_2,angular_velocity_covariance_3,angular_velocity_covariance_4,angular_velocity_covariance_5,angular_velocity_covariance_6,angular_velocity_covariance_7,angular_velocity_covariance_8,linear_acceleration.x,linear_acceleration.y,linear_acceleration.z,linear_acceleration_covariance_0,linear_acceleration_covariance_1,linear_acceleration_covariance_2,linear_acceleration_covariance_3,linear_acceleration_covariance_4,linear_acceleration_covariance_5,linear_acceleration_covariance_6,linear_acceleration_covariance_7,linear_acceleration_covariance_8
1742326690.6890194,16953,1742326690,688305447,crazy08/base_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10327499855067018,0.15837096620255547,-0.09158472837300953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021672113242093474,-0.06365933116525412,9.927540729045868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1742326690.695717,16954,1742326690,694946439,crazy08/base_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09399613751629221,0.14063879078221042,-0.081637605319725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.029718341077677908,-0.095519402269274,10.054939863681794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1742326690.707144,16955,1742326690,706420025,crazy08/base_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07468683809840225,0.11366868378449058,-0.07756004769708308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05070339962840081,-0.1980803505331278,10.072980862855912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1742326690.7163436,16956,1742326690,715519066,crazy08/base_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03884254155513115,0.09185665376506343,-0.08352032705235651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07358271393924952,-0.10361180255189538,9.99062049150467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1742326690.7267587,16957,1742326690,725999680,crazy08/base_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.36720018139531e-05,0.07514644976827949,-0.08457239219623551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09893170941621066,-0.15737081089988353,10.04627779841423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1742326690.7373722,16958,1742326690,736565355,crazy08/base_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048190428396012626,0.05057361635411888,-0.09229350372999888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08190988906659186,-0.07960506283678115,10.075436693429948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1742326690.748006,16959,1742326690,747295442,crazy08/base_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09136607452513561,0.04504008359639542,-0.09110679914825959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05327252000570298,-0.05353148313704879,10.039728916883469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1742326690.7567616,16960,1742326690,755895753,crazy08/base_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11586247105482174,0.047626358393566236,-0.11104359757562106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.047891103602014484,-0.012635031316895038,10.048475182056427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1742326690.7675645,16961,1742326690,766725897,crazy08/base_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1216671635457857,0.0776087419331395,-0.11760075791020849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043640109300613406,-0.08435174114070833,10.016794967651368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1742326690.7763853,16962,1742326690,775535348,crazy08/base_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1266297561776882,0.07485505833313279,-0.12097854498929687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002029917729960289,-0.008971515451557934,9.95424379348755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
