Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,child_frame_id,pose.pose.position.x,pose.pose.position.y,pose.pose.position.z,pose.pose.orientation.x,pose.pose.orientation.y,pose.pose.orientation.z,pose.pose.orientation.w,pose.covariance,twist.twist.linear.x,twist.twist.linear.y,twist.twist.linear.z,twist.twist.angular.x,twist.twist.angular.y,twist.twist.angular.z,twist.covariance
1741119394.279796,419384,1741119394,275025368,mocap,crazy07/base_link,-0.02741330517753789,-0.02343098929756395,0.23065648190440788,0.008752689409926899,-0.03389860549456881,-0.033477597679129625,-0.9988260736621853,"(7.859134042969669e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.859134042969669e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.859134042969669e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.859146677644552e-07, -2.1102144541392857e-13, -1.0930032895394269e-12, 0.0, 0.0, 0.0, -2.1102144541391898e-13, 7.859169282472018e-07, -1.176046803169527e-13, 0.0, 0.0, 0.0, -1.0930032895394293e-12, -1.1760468031706628e-13, 7.859174245149155e-07)",0.026386327578684463,-0.009085892807648266,0.03294927901067881,-0.5069581472447855,1.8436302574428627,-0.1972790038130347,"(0.016958865302136323, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.016958865302136323, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.016958865302136323, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.016958907515664978, 1.2032536316777882e-08, -3.271037245257389e-08, 0.0, 0.0, 0.0, 1.2032536316776476e-08, 0.016958983213591787, -9.217273648779202e-10, 0.0, 0.0, 0.0, -3.2710372452578074e-08, -9.217273648818906e-10, 0.016959003228771072)"
1741119394.2897768,419385,1741119394,284748316,mocap,crazy07/base_link,-0.02722207754185654,-0.0234493990378821,0.2308431307612668,0.009293770016420455,-0.041051179837868504,-0.03327246686391432,-0.9985596474030768,"(7.804660765351578e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.804660765351578e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.804660765351578e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.804784819488647e-07, 2.58402432693403e-12, -2.0857586159664207e-13, 0.0, 0.0, 0.0, 2.5840243269340325e-12, 7.804666846740877e-07, 1.0366819958105002e-12, 0.0, 0.0, 0.0, -2.085758615963236e-13, 1.0366819958105834e-12, 7.804789044677488e-07)",0.022449810689428716,-0.004903412975095146,0.02492633531613775,-0.30567823521298665,1.622577313847949,-0.11301047437891087,"(0.017105099596211735, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.017105099596211735, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.017105099596211735, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.017105521721463866, 1.3863207085705714e-07, -3.9425402614016645e-08, 0.0, 0.0, 0.0, 1.3863207085705659e-07, 0.017105227474636095, 5.063339003130839e-08, 0.0, 0.0, 0.0, -3.942540261401405e-08, 5.063339003130442e-08, 0.017105621678395355)"
1741119394.3001637,419386,1741119394,295166731,mocap,crazy07/base_link,-0.027077320998397877,-0.023405214926502802,0.23124015431294917,-0.002138388057028616,-0.03296474447596716,-0.03316536343610086,-0.9989038049714646,"(7.928031789969225e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.928031789969225e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.928031789969225e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.928100369345164e-07, 1.1035852628065432e-12, -1.8989361781752822e-13, 0.0, 0.0, 0.0, 1.103585262806507e-12, 7.928038157799425e-07, 3.913739758561447e-13, 0.0, 0.0, 0.0, -1.8989361781745724e-13, 3.913739758560914e-13, 7.928105418637051e-07)",0.017329084903796248,0.0006442064553293892,0.03304793011863427,1.243073862575626,-0.26154770678980643,-0.11946423650361365,"(0.016748004428114832, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.016748004428114832, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.016748004428114832, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.016748702407459872, 1.6571603592695182e-07, -2.052997545570071e-08, 0.0, 0.0, 0.0, 1.657160359269535e-07, 0.016748067717616354, 6.236196147103264e-08, 0.0, 0.0, 0.0, -2.052997545567101e-08, 6.236196147103037e-08, 0.016748750475987034)"
1741119394.3097718,419387,1741119394,304858923,mocap,crazy07/base_link,-0.027118173392833463,-0.02316341340760553,0.2310290961397809,-0.0038978637278680364,-0.03363472769001833,-0.032372624822504296,-0.9989021598304036,"(7.798162476605892e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.798162476605892e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.798162476605892e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.798188484734562e-07, 2.9459244556113358e-12, 3.571224133697075e-13, 0.0, 0.0, 0.0, 2.9459244556113e-12, 7.798228227299371e-07, -4.60546315326826e-15, 0.0, 0.0, 0.0, 3.5712241336978746e-13, -4.605463153268257e-15, 7.798252731271246e-07)",0.004894689814805663,0.014592554314578461,0.0014488076963918642,0.7273614072454472,-0.023263051520109268,-0.1493390180321774,"(0.01706061466014403, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01706061466014403, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01706061466014403, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.017060917985245644, 6.385320051797806e-08, 1.3604018348457317e-08, 0.0, 0.0, 0.0, 6.385320051798036e-08, 0.017060797272057542, 2.4595704406549956e-08, 0.0, 0.0, 0.0, 1.3604018348466687e-08, 2.459570440654429e-08, 0.0170610914439573)"
1741119394.3196988,419388,1741119394,314887524,mocap,crazy07/base_link,-0.027329824587330336,-0.022740917175228584,0.2309562586240936,0.00824234437112677,-0.03794062252293733,-0.03508528161714058,-0.9986298593251918,"(7.854176166802244e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.854176166802244e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.854176166802244e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.854198066124119e-07, 4.991769309724682e-13, 2.0895334858993307e-13, 0.0, 0.0, 0.0, 4.991769309724795e-13, 7.854189296781395e-07, 1.7474703170238443e-13, 0.0, 0.0, 0.0, 2.0895334859001587e-13, 1.747470317023086e-13, 7.854209584455725e-07)",-0.010542504590769285,0.03097417582272235,-0.0037241301574339877,-1.1455532035924274,0.45291313745184236,0.3141898271427045,"(0.016973263755171317, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.016973263755171317, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.016973263755171317, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01697332642834966, 2.7734731623956544e-08, 2.8765392532066365e-08, 0.0, 0.0, 0.0, 2.773473162395512e-08, 0.016973476258310312, 2.524044011703564e-09, 0.0, 0.0, 0.0, 2.8765392532067636e-08, 2.524044011704676e-09, 0.016973528888354513)"
1741119394.3298461,419389,1741119394,325020075,mocap,crazy07/base_link,-0.02736842355128493,-0.02252545863827808,0.23086992542486462,0.011806363188945842,-0.04179008394600981,-0.038490530145491884,-0.9983149191318947,"(7.879187894954148e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.879187894954148e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.879187894954148e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.879206081647623e-07, 2.247360649744865e-12, 1.6107123127173508e-12, 0.0, 0.0, 0.0, 2.2473606497447617e-12, 7.879257154056936e-07, -5.040644882933994e-13, 0.0, 0.0, 0.0, 1.6107123127175124e-12, -5.040644882931018e-13, 7.879266854638182e-07)",-0.006542093085216668,0.025217044450843818,-0.006582386611215459,-0.8833178487846041,0.6276945998018744,0.5382233606704718,"(0.016867849648274695, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.016867849648274695, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.016867849648274695, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.016867893107664046, 6.623162786435747e-08, 4.940240941683874e-08, 0.0, 0.0, 0.0, 6.623162786436015e-08, 0.01686806814917018, -1.7179871418287535e-08, 0.0, 0.0, 0.0, 4.9402409416841704e-08, -1.717987141828981e-08, 0.016868085966735148)"
1741119394.339349,419390,1741119394,334926844,mocap,crazy07/base_link,-0.027237597428638575,-0.02229936046232551,0.23090620973256748,0.009135256189070684,-0.03866401516774888,-0.037077512334544024,-0.9985223578391804,"(7.835389472689809e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.835389472689809e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.835389472689809e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.835411475037211e-07, 1.617301331479901e-12, 1.4539632803545476e-12, 0.0, 0.0, 0.0, 1.6173013314798627e-12, 7.835424589999053e-07, -1.0340302233569563e-12, 0.0, 0.0, 0.0, 1.4539632803545686e-12, -1.0340302233568351e-12, 7.835428016327659e-07)",0.00501921847599816,0.023784442443504413,-0.0005804814430366506,-0.04235705866636774,-0.09976100001742494,0.04723190853127812,"(0.01697700280035666, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01697700280035666, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01697700280035666, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.016977123424929366, 1.2395596739564524e-07, 9.823116544756654e-08, 0.0, 0.0, 0.0, 1.2395596739564873e-07, 0.016977281091032137, -5.845044936338935e-08, 0.0, 0.0, 0.0, 9.823116544756611e-08, -5.8450449363388237e-08, 0.016977306942878037)"
1741119394.3502738,419391,1741119394,345352173,mocap,crazy07/base_link,-0.02721596388097357,-0.022073167423205375,0.23075336068381255,0.015066323610494656,-0.043273573946344596,-0.03726014050334616,-0.9982545194591466,"(7.925868507022223e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.925868507022223e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.925868507022223e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.925871330332861e-07, 3.139282847620667e-13, 1.8645980608961096e-13, 0.0, 0.0, 0.0, 3.1392828476207067e-13, 7.92587629765839e-07, -8.324837446254166e-14, 0.0, 0.0, 0.0, 1.8645980608961308e-13, -8.32483744625504e-14, 7.925878195533835e-07)",0.003247285332103709,0.022586455562374937,-0.009126395801890633,-0.7259210976573286,0.47169222066348915,0.06215062932935812,"(0.016716538320540396, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.016716538320540396, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.016716538320540396, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.016716598857404022, 5.266287677464355e-08, 4.6204894774317546e-08, 0.0, 0.0, 0.0, 5.2662876774644254e-08, 0.016716653718623575, -2.841938643616107e-08, 0.0, 0.0, 0.0, 4.620489477431776e-08, -2.8419386436158264e-08, 0.01671666264903232)"
1741119394.3595006,419392,1741119394,354901075,mocap,crazy07/base_link,-0.027055678377606994,-0.022014052331258627,0.23072386383164228,0.0004100401605626365,-0.03582444038142455,-0.03713810198313574,-0.9986677138666701,"(7.768840932389518e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.768840932389518e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.768840932389518e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.768852792463988e-07, 1.5556915747065293e-12, 4.104632686133869e-13, 0.0, 0.0, 0.0, 1.5556915747065311e-12, 7.768866773300431e-07, -2.5888733410086556e-13, 0.0, 0.0, 0.0, 4.1046326861344706e-13, -2.5888733410088525e-13, 7.768875346080567e-07)",0.010921872339893328,0.013161786414689914,-0.005651979394369231,1.4644427907245956,-0.6203347608956306,-0.05349273359369995,"(0.017143463189540367, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.017143463189540367, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.017143463189540367, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.017143503808032663, 5.158901855703683e-08, 1.701432434074429e-08, 0.0, 0.0, 0.0, 5.158901855703785e-08, 0.017143552399699412, -1.0516721809843947e-08, 0.0, 0.0, 0.0, 1.70143243407445e-08, -1.0516721809841141e-08, 0.017143579690655608)"
1741119394.369759,419393,1741119394,364903927,mocap,crazy07/base_link,-0.02703357291223314,-0.021635920474833033,0.2308295485293346,0.00689809478440148,-0.035594223613037546,-0.03720018772792402,-0.9986498953922263,"(7.849748667430905e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.849748667430905e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.849748667430905e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.849766762217451e-07, 3.91029661149158e-12, 4.806915855930819e-13, 0.0, 0.0, 0.0, 3.9102966114915825e-12, 7.849838586588333e-07, -2.29419333041129e-13, 0.0, 0.0, 0.0, 4.806915855931208e-13, -2.2941933304124413e-13, 7.849855100562645e-07)",0.005764515635998104,0.027846109736306628,0.003980979240056403,-0.17282003088542752,-0.30875006436456925,0.009588507750866601,"(0.01701237975671547, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01701237975671547, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01701237975671547, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01701243689500442, 1.2079388268551156e-07, 1.1361795283007277e-08, 0.0, 0.0, 0.0, 1.2079388268551177e-07, 0.017012651760448465, -5.6342300607925306e-09, 0.0, 0.0, 0.0, 1.136179528299563e-08, -5.634230060786337e-09, 0.01701270684973636)"
