Time,linear.x,linear.y,linear.z,angular.x,angular.y,angular.z
1741119394.2816339,-0.7449564337730408,-1.0225539207458496,39671.8515625,0.0,0.0,-1.0929410457611084
1741119394.2904086,-0.6542434096336365,-0.910304844379425,39734.0546875,0.0,0.0,-1.1278321743011475
1741119394.3011086,-0.5379576683044434,-0.7662451267242432,39655.53125,0.0,0.0,-1.0963544845581055
1741119394.3104486,-0.238924041390419,-0.3788647949695587,40073.41796875,0.0,0.0,-1.1883612871170044
1741119394.3216841,0.1304474174976349,0.0709545835852623,40134.9375,0.0,0.0,-0.9271718859672546
1741119394.3304853,0.046497851610183716,-0.07179183512926102,40149.78125,0.0,0.0,-0.555313229560852
1741119394.340762,-0.2405797690153122,-0.12191788852214813,40078.421875,0.0,0.0,-0.7023417353630066
1741119394.350815,-0.19090773165225983,-0.1403759866952896,40163.38671875,0.0,0.0,-0.7136351466178894
1741119394.3607407,-0.36675307154655457,-0.3886295258998871,40160.64453125,0.0,0.0,-0.6551018953323364
1741119394.3704941,-0.26492562890052795,-0.0004021477943751961,40036.30859375,0.0,0.0,-0.6778688430786133
1741119394.3807404,-0.36592990159988403,-0.0626242607831955,40214.5625,0.0,0.0,-0.5621330738067627
1741119394.3902032,-0.8468148112297058,-0.4217717945575714,40161.3828125,0.0,0.0,-0.9353362321853638
1741119394.4055,-0.3536476194858551,-0.06443687528371811,40063.4140625,0.0,0.0,-0.5889876484870911
1741119394.4162798,-0.20947962999343872,-0.12735497951507568,40270.6640625,0.0,0.0,-0.38007092475891113
1741119394.4211097,-0.3103586435317993,0.042255986481904984,40210.1484375,0.0,0.0,-0.25819066166877747
1741119394.4305613,-0.6356271505355835,-0.1533258557319641,40070.08984375,0.0,0.0,-0.37262529134750366
1741119394.440239,-0.3461107909679413,0.08032586425542831,40044.5390625,0.0,0.0,-0.2851284146308899
1741119394.4512143,-0.5298503041267395,-0.04717010259628296,40141.58984375,0.0,0.0,-0.1430957168340683
1741119394.4604762,-0.617993950843811,0.008001560345292091,40112.06640625,0.0,0.0,-0.0756104364991188
1741119394.4705615,-0.7470753192901611,-0.20905755460262299,40122.828125,0.0,0.0,-0.16416606307029724
1741119394.4805808,-0.5102735757827759,-0.1458505392074585,39972.63671875,0.0,0.0,0.09891209751367569
1741119394.490093,-0.6379777789115906,0.08147168904542923,40106.4453125,0.0,0.0,0.14815397560596466
1741119394.5008583,-0.8487411737442017,-0.16986575722694397,40051.21875,0.0,0.0,-0.10678694397211075
1741119394.5109887,-0.9798227548599243,-0.5296740531921387,39891.6875,0.0,0.0,-0.2787631154060364
1741119394.5221329,-0.6850174069404602,0.03763037174940109,40205.15625,0.0,0.0,0.0649343878030777
1741119394.5305085,-0.35056012868881226,0.34227272868156433,40705.37109375,0.0,0.0,0.07155300676822662
1741119394.5402303,-0.5175313949584961,0.12327679246664047,40755.84765625,0.0,0.0,0.05159570276737213
1741119394.5506718,-0.5384795069694519,0.2677047550678253,40365.703125,0.0,0.0,0.2716798186302185
1741119394.5612125,-0.9402194023132324,-0.23465783894062042,39952.65625,0.0,0.0,0.210523784160614
1741119394.5700827,-1.494835376739502,-0.7476823925971985,39370.34375,0.0,0.0,0.08977869898080826
1741119394.5808508,-0.48186513781547546,-0.6188062429428101,40444.16796875,0.0,0.0,-0.08004480600357056
1741119394.590147,-1.3906505107879639,-0.44434043765068054,39859.9140625,0.0,0.0,0.21947866678237915
1741119394.6006823,-1.4588099718093872,-0.35176578164100647,39790.98828125,0.0,0.0,0.3399105370044708
1741119394.6120403,-1.348734736442566,-0.5507847666740417,39823.1328125,0.0,0.0,0.37921643257141113
1741119394.620586,-1.1897993087768555,-0.33772212266921997,39933.51953125,0.0,0.0,0.39403611421585083
1741119394.631293,-1.0315085649490356,-0.42819470167160034,39948.4296875,0.0,0.0,0.3545658588409424
1741119394.6402054,-1.0931172370910645,-0.4566289186477661,39904.90625,0.0,0.0,0.49240842461586
1741119394.6510253,-1.1853551864624023,-0.4882689416408539,39926.1328125,0.0,0.0,0.34641775488853455
1741119394.660836,-1.1987202167510986,-0.3214550018310547,39834.2578125,0.0,0.0,0.2745444178581238
1741119394.6719148,-1.431981086730957,-0.5603173971176147,39782.79296875,0.0,0.0,0.07940241694450378
1741119394.6820323,-1.1509134769439697,-0.581187903881073,39802.7421875,0.0,0.0,0.3992220163345337
1741119394.699988,-1.0225551128387451,-0.4571964740753174,40161.12109375,0.0,0.0,0.4328271448612213
