0.0000,2.1878,0.7556,0.6472,0.0331,-0.0242,0.0330,0.1550,-1.3817,-0.0373,-0.9981,-0.0417,-0.0206,-0.0409
0.0103,2.1879,0.7555,0.6470,0.0158,-0.0131,0.0006,-0.0901,-1.2233,-0.0538,-0.9982,-0.0402,-0.0149,-0.0408
0.0197,2.1880,0.7556,0.6467,0.0113,-0.0019,-0.0163,0.0271,-0.5581,-0.0682,-0.9982,-0.0408,-0.0146,-0.0404
0.0296,2.1879,0.7556,0.6465,0.0044,-0.0004,-0.0194,0.1555,0.0426,0.1780,-0.9981,-0.0420,-0.0169,-0.0421
0.0405,2.1880,0.7557,0.6462,0.0049,0.0044,-0.0263,-0.1963,-0.1448,0.0438,-0.9982,-0.0397,-0.0156,-0.0419
0.0501,2.1882,0.7556,0.6462,0.0136,-0.0015,-0.0140,-0.0511,-0.2356,-0.1085,-0.9983,-0.0400,-0.0140,-0.0409
0.0599,2.1883,0.7556,0.6461,0.0102,-0.0036,-0.0111,-0.0907,0.1419,0.0180,-0.9982,-0.0395,-0.0161,-0.0413
0.0700,2.1884,0.7557,0.6460,0.0099,0.0034,-0.0099,-0.0655,-0.2326,-0.1177,-0.9983,-0.0391,-0.0136,-0.0404
0.0799,2.1884,0.7556,0.6460,0.0048,-0.0036,-0.0045,-0.1183,0.0535,0.1334,-0.9983,-0.0384,-0.0150,-0.0418
0.0905,2.1885,0.7555,0.6461,0.0068,-0.0064,0.0058,0.0534,0.0435,0.1827,-0.9982,-0.0393,-0.0152,-0.0430
0.0998,2.1885,0.7555,0.6461,0.0070,0.0002,-0.0000,-0.1451,-0.0241,0.0441,-0.9983,-0.0378,-0.0148,-0.0427
0.1102,2.1887,0.7555,0.6462,0.0109,-0.0013,0.0093,-0.1484,0.2346,0.2826,-0.9982,-0.0371,-0.0170,-0.0448
0.1200,2.1888,0.7555,0.6464,0.0099,-0.0019,0.0169,0.2323,0.2038,0.0818,-0.9981,-0.0397,-0.0178,-0.0445
0.1302,2.1887,0.7555,0.6463,0.0002,-0.0006,0.0009,0.5844,-0.5166,-0.5301,-0.9982,-0.0437,-0.0123,-0.0400
0.1403,2.1888,0.7552,0.6467,0.0040,-0.0157,0.0207,0.3634,-0.0230,-0.1415,-0.9981,-0.0448,-0.0139,-0.0406
0.1600,2.1890,0.7550,0.6473,0.0178,-0.0177,0.0459,0.1387,-0.1279,0.0394,-0.9981,-0.0447,-0.0129,-0.0415
0.1602,2.1889,0.7551,0.6471,-0.0010,-0.0042,0.0082,0.6565,-0.2402,-0.3819,-0.9980,-0.0497,-0.0110,-0.0382
0.1706,2.1889,0.7549,0.6473,-0.0010,-0.0103,0.0153,0.5066,0.1343,-0.0853,-0.9978,-0.0519,-0.0129,-0.0387
0.1797,2.1890,0.7547,0.6479,0.0041,-0.0183,0.0431,0.3151,0.5400,0.0267,-0.9977,-0.0528,-0.0169,-0.0390
0.1999,2.1891,0.7546,0.6484,0.0099,-0.0167,0.0458,-0.1834,0.2423,-0.1938,-0.9979,-0.0503,-0.0172,-0.0372
0.2001,2.1893,0.7544,0.6490,0.0157,-0.0178,0.0552,-0.0381,-0.1079,-0.2603,-0.9980,-0.0505,-0.0153,-0.0358
0.2103,2.1895,0.7541,0.6495,0.0163,-0.0252,0.0517,-1.0979,0.1081,0.0461,-0.9983,-0.0413,-0.0170,-0.0369
0.2208,2.1896,0.7537,0.6503,0.0149,-0.0281,0.0658,-0.7034,0.2614,0.3278,-0.9983,-0.0390,-0.0191,-0.0395
0.2397,2.1899,0.7535,0.6511,0.0208,-0.0296,0.0739,-0.5064,0.3494,0.1478,-0.9983,-0.0374,-0.0211,-0.0394
0.2398,2.1900,0.7532,0.6518,0.0159,-0.0297,0.0708,-0.3408,0.0742,0.0607,-0.9984,-0.0363,-0.0206,-0.0394
0.2500,2.1901,0.7529,0.6524,0.0127,-0.0263,0.0647,-0.1686,0.1038,0.0468,-0.9983,-0.0361,-0.0212,-0.0396
0.2603,2.1902,0.7527,0.6529,0.0109,-0.0246,0.0585,-0.1961,-0.2042,0.0190,-0.9984,-0.0349,-0.0191,-0.0396
