Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,pose.position.x,pose.position.y,pose.position.z,pose.orientation.x,pose.orientation.y,pose.orientation.z,pose.orientation.w
1742324671.0630472,1,1742324671,62557220,base_link,2.195306604219333,0.7417557183026423,0.680330776066877,0.0021439445632476135,-0.0018484488040931028,-3.962987642267587e-06,0.9999959933534849
1742324671.2156067,2,1742324671,214463472,base_link,2.1950193272017935,0.739609894088839,0.6805090933483171,0.025581938450593717,-0.015065443669925628,-0.0003855732415659195,0.9995591268981608
1742324671.260824,3,1742324671,260253429,base_link,2.194670247074301,0.7370266052608275,0.6807237637943038,0.03610228877486716,-0.016267548420835564,-0.0005877568169373869,0.9992155153696904
1742324671.302174,4,1742324671,301846981,base_link,2.194208342695199,0.7336307477810095,0.6810059584261215,0.04959614316851317,-0.011744661957244714,-0.0005832480838519428,0.9987001278261614
1742324671.3453724,5,1742324671,344849109,base_link,2.1935611470296448,0.728903140613562,0.6813988210158873,0.0538663216284556,-0.02291873690334592,-0.0012366697593998036,0.9982843390241486
1742324671.3897147,6,1742324671,389068603,base_link,2.192703683623485,0.7226814409568205,0.6819158421966492,0.0611171365840807,-0.024598054710193103,-0.0015066376201462548,0.9978263182354525
1742324671.431366,7,1742324671,431025266,base_link,2.1915663349197256,0.7144873533407499,0.6825967681635492,0.06312349094315176,-0.023526572392641082,-0.0014884622488294248,0.9977272722356233
1742324671.476401,8,1742324671,476304292,base_link,2.1901382330851877,0.7042757663562002,0.683445347659746,0.07138187691871309,-0.026670103669041444,-0.0019093170022649658,0.9970906115927625
1742324671.517939,9,1742324671,517830610,base_link,2.1885670505004833,0.693124902379356,0.6843719807629008,0.07342575209944427,-0.024682239161406164,-0.0018177770269838277,0.9969935514762823
1742324671.5962744,10,1742324671,596173763,base_link,2.184824220943651,0.666855279186507,0.6865549777493629,0.07755912438343512,-0.024282710328979894,-0.0018895999421770283,0.9966902034313431
1742324671.6399534,11,1742324671,639698743,base_link,2.1822768926104277,0.6491790542866841,0.6880238661839272,0.07278571558205617,-0.023640669596157383,-0.0017257666503044302,0.9970658855249849
1742324671.6830227,12,1742324671,682921409,base_link,2.1794448008056766,0.6296955123019535,0.6896429420696388,0.07458628236483995,-0.020732562279838735,-0.001551021198044072,0.9969978142792231
1742324671.7509573,13,1742324671,750813245,base_link,2.1743027573400253,0.594727469277313,0.6925487748630854,0.0683339633370269,-0.018292532561725996,-0.0012531416208669854,0.9974940011565032
1742324671.796829,14,1742324671,796523571,base_link,2.1703788459345907,0.5683640779826602,0.6947395639477499,0.06500474824201069,-0.015140314854934132,-0.0009863924021382598,0.9977696029655921
1742324671.8406487,15,1742324671,840265035,base_link,2.166212771344437,0.5406533387600893,0.6970423171989643,0.06661520893548088,-0.01697267333553071,-0.0011333199221386851,0.9976337293236841
1742324671.9037375,16,1742324671,903329133,base_link,2.1595910301412027,0.4971607316673462,0.7006565384430162,0.06109846423832981,-0.016170693499165584,-0.0009899842558773585,0.9980002536425763
1742324671.949132,17,1742324671,948967456,base_link,2.154406655863618,0.4635536602330203,0.7034492749480803,0.05285703022452828,-0.01583531165789806,-0.0008382849454254204,0.9984761762500348
1742324671.995626,18,1742324671,995505094,base_link,2.148644821209467,0.42663717486367553,0.7065170226550206,0.048490217489445604,-0.016563131726843868,-0.00080420659198171,0.9986859940576832
1742324672.0427792,19,1742324672,42663335,base_link,2.1422396334433063,0.3861122327660079,0.7098846319209137,0.037250814190663686,-0.01650597013231557,-0.0006153719355150884,0.9991694306320148
1742324672.0891843,20,1742324672,89064598,base_link,2.135638271228208,0.3448908290028676,0.7133101169205297,0.03714580773010918,-0.01305197134454488,-0.0004852022928807948,0.9992244990945899
1742324672.134114,21,1742324672,133808374,base_link,2.1288942799859885,0.30333148922999925,0.716763684290625,0.03863889482751431,-0.019315480994067203,-0.000747026367790457,0.9990662590399508
1742324672.2090836,22,1742324672,208659172,base_link,2.1172735272232854,0.23298835144609953,0.7226091757418437,0.030046541148086647,-0.022383449518540235,-0.000673017951255362,0.9992976201310222
1742324672.2694733,23,1742324672,269316673,base_link,2.1062395615583127,0.1676408202629266,0.7280395339391563,0.018737763451219552,-0.021532827997540534,-0.0004036415406518553,0.9995924522588098
1742324672.3331547,24,1742324672,332818031,base_link,2.094531570562969,0.0998013971211742,0.7336769675328776,0.020513051541904265,-0.023559357671272176,-0.00048351034394628246,0.999511849654772
1742324672.37784,25,1742324672,377557754,base_link,2.0858752682336705,0.05062165892064885,0.7377637874883295,0.009728818009320506,-0.023569434726134555,-0.0002293773261097571,0.9996748367508678
1742324672.4224937,26,1742324672,422060012,base_link,2.0769643427997297,0.0008543849396273062,0.7418994314725407,0.0005156237930235948,-0.024517958460565363,-1.2645845893077777e-05,0.9996992566192658
1742324672.4676654,27,1742324672,467527389,base_link,2.0675379485192233,-0.0508489071096766,0.74619595791699,0.00173910137418227,-0.023775041294763672,-4.135896036661914e-05,0.99971582023457
1742324672.5142126,28,1742324672,514059305,base_link,2.0575938592719414,-0.10434481600577039,0.750641450227668,-0.005180128461183226,-0.024705857269680644,0.0001280203100599973,0.9996813344743893
1742324672.5630486,29,1742324672,562786340,base_link,2.0469138869445915,-0.16060381024156922,0.7553165540149034,-0.0003375498585738247,-0.02605266652754029,8.797060374966098e-06,0.9996605146496033
1742324672.6502354,30,1742324672,649928808,base_link,2.026890373835383,-0.2627372746630009,0.7638038110803037,-0.009441964241078486,-0.022042381971296203,0.00020818324996492972,0.9997124283352868
