Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,pose.position.x,pose.position.y,pose.position.z,pose.orientation.x,pose.orientation.y,pose.orientation.z,pose.orientation.w
1742326827.1536217,1,1742326827,153115987,base_link,-1.744176391238309,-1.3332196529999205,0.6309383902185645,-0.0064980144194218764,0.0412163929977044,-0.0002680581739917477,0.9991290771975756
1742326827.3271594,2,1742326827,327062606,base_link,-1.74245081246442,-1.3315398048663514,0.6310815372610877,-0.018984936971955007,0.04236622833404443,-0.0008051886256583217,0.9989214316132153
1742326827.420556,3,1742326827,419989347,base_link,-1.7384714932654415,-1.32765765955027,0.6314142023650973,-0.027209425681697763,0.04506848744609703,-0.0012279914699559768,0.9986125227686377
1742326827.5108302,4,1742326827,510519266,base_link,-1.7310036096667707,-1.3203566485647567,0.6320432872234578,-0.033289287619217206,0.03664211997814668,-0.0012212884810515955,0.9987730907607384
1742326827.5522652,5,1742326827,552070140,base_link,-1.7258720150663347,-1.3153315786902264,0.6324780791879256,-0.029520005631708125,0.03416290310807967,-0.0010095191018694226,0.9989797025915567
1742326827.592739,6,1742326827,592636346,base_link,-1.7201965725803294,-1.3097677693053447,0.6329608582219903,-0.03179290487821774,0.03154757328197963,-0.00100399703675648,0.9989959728694471
1742326827.6349432,7,1742326827,634825706,base_link,-1.7132778014425905,-1.3029774465608208,0.6335517585125913,-0.03344503884471623,0.027477885950266723,-0.0009198614849889431,0.9990623348996938
1742326827.677929,8,1742326827,677457809,base_link,-1.7051678030213242,-1.2950085252511758,0.6342473238974069,-0.03923929634562158,0.030410692272483286,-0.001194768200772005,0.998766258914845
1742326827.7212663,9,1742326827,720802545,base_link,-1.695735104733111,-1.2857283235300077,0.6350599093685284,-0.03278714969228156,0.020009803950035397,-0.0006565490906065148,0.9992618172952615
1742326827.7664232,10,1742326827,766057491,base_link,-1.6845761713048,-1.274735139327646,0.6360257253997665,-0.04181259804798992,0.016858927738481844,-0.0007056332153374211,0.9989829754714298
1742326827.845423,11,1742326827,844929695,base_link,-1.6619832952413682,-1.252433906699522,0.6379947209521014,-0.05415120686798824,0.021888040532808184,-0.001187291565937791,0.998292116975343
1742326827.8905635,12,1742326827,890394210,base_link,-1.6477417112078019,-1.238348348336944,0.6392444758633485,-0.19183634145465273,0.1642394280556828,-0.03258102311583822,0.9670381095396196
1742326827.938482,13,1742326827,938174486,base_link,-1.6306168655104472,-1.2213845307308515,0.6407554534222543,-0.07663448286578477,0.053523265745821315,-0.004119800949798811,0.9956130992006533
1742326827.987622,14,1742326827,987270832,base_link,-1.6099443933109212,-1.2008695850469853,0.642590825226175,-0.06113268588983313,0.0417971617345083,-0.0025622167170483478,0.9972508345608587
1742326828.0373003,15,1742326828,36941289,base_link,-1.5885577684909507,-1.1796051950683892,0.6445021735433353,-0.07448812587779045,0.05409106882429527,-0.004046357160371356,0.9957456012307513
1742326828.0835633,16,1742326828,83191156,base_link,-1.567478712513611,-1.1586073548588933,0.6463981512632144,-0.06579154271414583,0.02638827378559638,-0.001740506299324472,0.9974828833377198
1742326828.140346,17,1742326828,139665126,base_link,-1.540542231407133,-1.1317193023169945,0.6488380655647538,-0.09809511427590607,0.02967488279476263,-0.002926382446469589,0.994730207730765
1742326828.1859996,18,1742326828,185840368,base_link,-1.514550974155011,-1.1057168957313313,0.6512102242913667,-0.07169325228156871,0.025497476362307956,-0.0018333152880821398,0.9970990899762668
1742326828.2454774,19,1742326828,245176076,base_link,-1.4811328834727302,-1.0722018467927548,0.6542857120213033,-0.12916052548227044,0.09774860451680414,-0.012795294868145173,0.9867112289831298
1742326828.2913153,20,1742326828,290983676,base_link,-1.454430911766704,-1.0453558240236709,0.6567636593751367,-0.029767318138571756,0.016601858243183894,-0.0004944801624631991,0.9994188514147004
1742326828.3381412,21,1742326828,337766885,base_link,-1.4254078046177983,-1.016108883574011,0.659477767048355,0.0006570773167903159,0.0022109315346348778,1.4527568247021816e-06,0.9999973400109814
1742326828.4098923,22,1742326828,409745931,base_link,-1.378073266522089,-0.9682574426205424,0.6639511403701127,0.00021967431076028,-0.0023552985987167147,-5.17400043914526e-07,0.9999972021518062
1742326828.455092,23,1742326828,454778432,base_link,-1.3477046083277548,-0.9374563749163329,0.6668522480741005,0.01605347132874617,-0.031048922698084916,-0.0004987478179661412,0.9993888140799855
1742326828.5435424,24,1742326828,543328523,base_link,-1.2867771091782383,-0.8754167014035211,0.6727481372537818,-0.035849852791968916,-0.03991553751161139,0.0014330315672823942,0.9985587035024432
1742326828.6067336,25,1742326828,606073379,base_link,-1.243281741537437,-0.8309202873954433,0.6770210486272784,-0.07013243727681451,-0.10366545575708007,0.007328133887722863,0.9921094763069316
1742326828.6568613,26,1742326828,656556129,base_link,-1.202149201838437,-0.7886749762699252,0.6811131050441487,-0.08280994898784447,-0.0702339769547569,0.005850766196392543,0.9940701531404433
1742326828.719454,27,1742326828,719253540,base_link,-1.1514656855521004,-0.7363871016476162,0.6862273101280677,-0.1233783742159845,0.007954682512566294,-0.0009890242566503071,0.9923273258521931
1742326828.7672393,28,1742326828,766811370,base_link,-1.1141670271757675,-0.6977345751686769,0.6900443749277236,-0.1372396373301854,0.025746388638200158,-0.003568406901374618,0.9901967844270937
1742326828.8144863,29,1742326828,814044237,base_link,-1.0765774149913645,-0.6586235413461659,0.6939396680043028,-0.07388801380777373,-0.07863986311824933,0.0058447706236081105,0.994143939276724
1742326828.8635662,30,1742326828,862844467,base_link,-1.040278552896298,-0.6206977883644859,0.6977498793890199,-0.1340525486960203,0.004826421118424789,-0.0006528947473404722,0.9909622563830257
1742326828.9587984,31,1742326828,958325147,base_link,-0.9627922001085418,-0.539177368798924,0.7060566480115456,-0.15419921074712345,-0.02255569050691997,0.0035211117082059305,0.9877760100362118
1742326829.0506659,32,1742326829,50479173,base_link,-0.8887816165951657,-0.4605179952874384,0.7142363742120337,-0.15856244107414913,-0.018155881254313486,0.00291623367389312,0.9871777002331674
1742326829.0933604,33,1742326829,93014478,base_link,-0.8526917274027642,-0.42184379973522357,0.7183230285465654,-0.1604090393346109,-0.01635417108029657,0.00265814789729227,0.9869115540096689
1742326829.1364868,34,1742326829,136120319,base_link,-0.8185694773989509,-0.3850666281675932,0.7222521557593615,-0.1619903639597983,-0.014854185681414124,0.0024387248082067717,0.9866775196452101
1742326829.1797552,35,1742326829,179409742,base_link,-0.784629418295355,-0.34826520753199086,0.7262283926685332,-0.16340685566314164,-0.013557082153013789,0.0022457203562308253,0.9864630564729037
1742326829.2230515,36,1742326829,222681283,base_link,-0.7511199317756915,-0.31169645178619243,0.730226469645572,-0.16465380756693299,-0.012466793459718947,0.0020812800814198422,0.9862704350165662
1742326829.2661994,37,1742326829,265879392,base_link,-0.7181542704982755,-0.27547372686105787,0.7342360304306037,-0.1657342418716618,-0.011579403637879139,0.0019461541593746366,0.9861005481017665
1742326829.3257833,38,1742326829,325442314,base_link,-0.6736003460651097,-0.22608585218593658,0.7397883650593442,-0.1669637522930456,-0.010674940482324145,0.0018078117798882307,0.9859035870116784
1742326829.3857193,39,1742326829,385462284,base_link,-0.6300019684672302,-0.17721491789143795,0.745388983144981,-0.16790813499768456,-0.010124196355149315,0.0017245106728515716,0.9857491490803839
1742326829.4310503,40,1742326829,430723190,base_link,-0.5980304086041484,-0.14098902666698798,0.7496157336795377,-0.16843558275517667,-0.009936121164608892,0.0016979429577402467,0.9856611207447713
1742326829.4852893,41,1742326829,484973430,base_link,-0.560872592121948,-0.09841596034425959,0.7546734295934401,-0.16886941139065612,-0.00995458805150035,0.001705608898610546,0.985586687700064
1742326829.5290198,42,1742326829,528723955,base_link,-0.5323999802505346,-0.065405738496362,0.7586687313555225,-0.1690684430232615,-0.010147264273776962,0.0017407348524990842,0.9855505387567
1742326829.5722148,43,1742326829,571913719,base_link,-0.504269731563117,-0.032415830056264694,0.7627322262120864,-0.16914838188994552,-0.010495745809863585,0.0018013991476071244,0.9855330634661725
