Time,linear.x,linear.y,linear.z,angular.x,angular.y,angular.z
1742326825.263113,1.618515133857727,-5.083302021026611,20000.0,0.0,0.0,-88.40727233886719
1742326825.2698238,1.1999294757843018,-2.5147206783294678,20000.0,0.0,0.0,-88.12760162353516
1742326825.280357,-2.865487575531006,-2.116583824157715,20000.0,0.0,0.0,-62.920265197753906
1742326825.2894723,-4.741995334625244,13.047087669372559,20000.0,0.0,0.0,-63.153907775878906
1742326825.2996902,10.440613746643066,3.3215298652648926,20000.0,0.0,0.0,-149.31280517578125
1742326825.3101344,4.824870586395264,-2.1141321659088135,34136.68359375,0.0,0.0,-0.4049833118915558
1742326825.3189523,5.131619453430176,-0.7766249775886536,46422.0390625,0.0,0.0,8.012109756469727
1742326825.3307095,1.9453654289245605,-0.06767778098583221,23329.83984375,0.0,0.0,1.0050450563430786
1742326825.3413343,-0.48049530386924744,0.4849548637866974,31869.91796875,0.0,0.0,16.65898895263672
1742326825.34957,-1.3859056234359741,0.39710187911987305,48432.55078125,0.0,0.0,12.788753509521484
1742326825.3594792,-1.6360630989074707,0.5255560278892517,51728.79296875,0.0,0.0,7.152743339538574
1742326825.3691373,-1.6517006158828735,0.7139153480529785,52536.07421875,0.0,0.0,5.698920726776123
1742326825.3799443,-1.8104119300842285,0.6866348385810852,52746.828125,0.0,0.0,6.795900821685791
1742326825.3903806,-1.9327549934387207,0.7107018232345581,53279.0859375,0.0,0.0,7.785942077636719
1742326825.4002073,-1.9052844047546387,0.6338649392127991,53423.38671875,0.0,0.0,8.502843856811523
1742326825.4100378,-1.5165330171585083,0.25198274850845337,53917.42578125,0.0,0.0,8.591727256774902
1742326825.4207914,-2.146667957305908,0.8108718395233154,54207.62109375,0.0,0.0,9.480562210083008
1742326825.4292052,-2.2730958461761475,1.0141814947128296,54657.5546875,0.0,0.0,9.597225189208984
1742326825.4393945,-2.272566080093384,0.9308637380599976,54709.6953125,0.0,0.0,9.806100845336914
1742326825.450457,-2.359344244003296,0.9447402358055115,54812.49609375,0.0,0.0,9.951584815979004
1742326825.4601436,-2.3605968952178955,0.8883174061775208,54846.0546875,0.0,0.0,10.191306114196777
1742326825.4704912,-2.387413740158081,0.9415215253829956,55039.41796875,0.0,0.0,10.278175354003906
1742326825.4798977,-1.9993830919265747,0.12528645992279053,59489.8671875,0.0,0.0,9.801972389221191
1742326825.4894683,-2.0934581756591797,0.22004038095474243,59234.9375,0.0,0.0,9.597259521484375
1742326825.4995837,-2.0208399295806885,0.2847228944301605,58050.3828125,0.0,0.0,10.129297256469727
1742326825.5101302,-2.153959274291992,0.7525591850280762,57143.5625,0.0,0.0,10.910219192504883
1742326825.5190687,-2.53429913520813,0.7381618618965149,57290.34765625,0.0,0.0,10.647862434387207
1742326825.5300932,-2.5103654861450195,0.7552475333213806,56812.8984375,0.0,0.0,10.718031883239746
1742326825.5405438,-2.523024559020996,0.41433820128440857,57006.375,0.0,0.0,11.169968605041504
1742326825.5500727,-2.3239989280700684,0.6839315295219421,56820.39453125,0.0,0.0,11.599771499633789
1742326825.559899,-2.2970030307769775,0.703944742679596,56517.97265625,0.0,0.0,12.103164672851562
1742326825.569953,-2.264082908630371,0.7161450386047363,55986.890625,0.0,0.0,12.53926944732666
1742326825.5798442,-2.7262909412384033,0.6075411438941956,55309.578125,0.0,0.0,12.42426586151123
1742326825.589549,-2.919799327850342,1.109194278717041,52746.82421875,0.0,0.0,12.24747085571289
1742326825.5999002,-3.4943387508392334,1.6136115789413452,50523.6796875,0.0,0.0,11.913228988647461
1742326825.6104715,-3.7421083450317383,1.507912516593933,49088.37109375,0.0,0.0,11.77003002166748
1742326825.6199234,-4.170022010803223,1.484795093536377,48249.71484375,0.0,0.0,12.201457023620605
1742326825.6291857,-4.325982093811035,1.8719173669815063,48057.5625,0.0,0.0,12.034754753112793
1742326825.6404433,-4.432794094085693,1.999096155166626,47575.421875,0.0,0.0,11.736242294311523
1742326825.6502259,-4.681944847106934,2.0628511905670166,47095.79296875,0.0,0.0,11.587597846984863
1742326825.6596894,-4.976264953613281,1.8639839887619019,46493.140625,0.0,0.0,11.542052268981934
1742326825.6706674,-5.231472492218018,1.8677425384521484,46346.29296875,0.0,0.0,11.234705924987793
1742326825.6794472,-5.6584625244140625,1.9468625783920288,46065.27734375,0.0,0.0,10.644977569580078
1742326825.6897326,-5.739698886871338,1.584180474281311,45810.0859375,0.0,0.0,10.607316017150879
1742326825.6997323,-5.754965782165527,1.1156951189041138,45585.0859375,0.0,0.0,10.651289939880371
1742326825.711372,-5.942651748657227,1.364319920539856,45167.90625,0.0,0.0,10.43822956085205
1742326825.719703,-6.044952869415283,1.533437728881836,44894.90625,0.0,0.0,10.36804485321045
1742326825.729689,-5.97920036315918,1.3217159509658813,44584.390625,0.0,0.0,10.240096092224121
1742326825.7413013,-6.0129499435424805,0.8512499928474426,44448.21484375,0.0,0.0,10.441039085388184
1742326825.7507105,-6.07535982131958,1.041905403137207,44019.796875,0.0,0.0,10.352197647094727
1742326825.7610812,-5.767086505889893,0.6952899098396301,43770.96484375,0.0,0.0,10.648845672607422
1742326825.7690115,-5.99715518951416,0.6791102886199951,43341.59375,0.0,0.0,10.68172550201416
1742326825.779272,-6.110620975494385,0.6491855978965759,43170.703125,0.0,0.0,10.70387077331543
1742326825.7893293,-6.065345764160156,0.6713162064552307,43076.953125,0.0,0.0,10.54458999633789
