Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,pose.position.x,pose.position.y,pose.position.z,pose.orientation.x,pose.orientation.y,pose.orientation.z,pose.orientation.w
1741119539.6292117,1,1741119539,628775358,base_link,0.009288730645318578,0.052566978178706106,0.4326263565830114,0.008928409743001279,-0.01188720748129265,-0.00010614559060541316,0.9998894771577863
1741119539.7056487,2,1741119539,705135107,base_link,0.008011020970461925,0.04533613694091415,0.5106713361538118,0.020631208671094074,-0.001729271422710635,-3.5684608287757844e-05,0.9997856578165767
1741119539.7466397,3,1741119539,746331214,base_link,0.007351600920463516,0.04160433324216681,0.5509499889209013,0.01583481381600233,-0.004058158363591253,-6.426876945798602e-05,0.9998663840192017
1741119539.8254774,4,1741119539,825153827,base_link,0.006055319596775552,0.03426839094200849,0.6301293607422717,0.016336799067918507,-0.0041840175686269606,-6.836317630769359e-05,0.9998577890478605
1741119539.870401,5,1741119539,870151758,base_link,0.005325254187874449,0.030136789554893857,0.6747231687444117,0.013022903308518186,-0.005488863002795577,-7.148807162678746e-05,0.9999001306439604
1741119539.9521735,6,1741119539,952068805,base_link,0.003987344995518328,0.022565265952245304,0.756445251342506,0.000476707349667046,-0.006789557466468028,-3.236706916912306e-06,0.9999768370562571
1741119539.993483,7,1741119539,993382453,base_link,0.003313297670656079,0.018750683274545772,0.7976173663650588,0.0008538788797378368,-0.012560988879773144,-1.0726413256114005e-05,0.9999207430262486
1741119540.0339534,8,1741119540,33855915,base_link,0.0026531586836304848,0.015014810952381191,0.8379399331970595,-0.0004214584329737329,-0.009968263765085006,4.201417943927101e-06,0.9999502267976377
1741119540.09318,9,1741119540,92965602,base_link,0.001690576476505416,0.009567345651763814,0.8967363172024637,-0.00963687412415734,-0.014485696221352685,0.00013961796555619148,0.9998486264274815
1741119540.1375353,10,1741119540,137277841,base_link,0.0009687379317470154,0.0054823019057717165,0.9408276124220963,-0.007526374116686018,-0.012762041362273411,9.606244242895437e-05,0.9998902313578879
1741119540.1800888,11,1741119540,179753780,base_link,0.00027745187981985733,0.0015701614643634787,0.9830527022542502,-0.00853991637301307,-0.01478892752540119,0.00012631462602424206,0.9998541601131665
1741119540.2216308,12,1741119540,221414804,base_link,0.0,0.02448629490515286,1.0,-0.30864261871902887,-0.006433374285383743,0.0020875835304409677,0.9511540293772444
1741119540.262511,13,1741119540,262416839,base_link,0.0,0.06572507990515286,1.0,-0.3119764584346554,-0.011479838174121949,0.0037698844919119246,0.9500129950000596
1741119540.303386,14,1741119540,303282737,base_link,0.0,0.10657595790515295,1.0,-0.32493087685427163,-0.004417362730048071,0.0015177093480263748,0.9457262335007739
1741119540.3448896,15,1741119540,344794034,base_link,0.0,0.14814948190515287,1.0,-0.326363054537513,-0.003270945145948171,0.0011293615645819887,0.9452381615726552
1741119540.385665,16,1741119540,385550737,base_link,0.0,0.1888856809051529,1.0,-0.3136307732117076,-0.00561812998216137,0.0018556810125235786,0.9495265826495379
1741119540.4271796,17,1741119540,427070140,base_link,0.0,0.2304177199051528,1.0,-0.2854415272228412,-0.011762167939754303,0.0035034433077513506,0.9583175422724132
1741119540.4720213,18,1741119540,471277236,base_link,0.0,0.27174662690515283,1.0,-0.24962966655118085,-0.008573658277112314,0.00221030410356701,0.9683009018466643
1741119540.5296793,19,1741119540,529338359,base_link,0.0,0.3326260959051529,1.0,-0.18367379329407488,-0.00810715929848233,0.0015148976887864461,0.982952652323634
1741119540.616971,20,1741119540,616652727,base_link,0.0,0.41994141690515285,1.0,-0.06993940597200024,-0.002945198561505063,0.00020649198905632824,0.997546872411906
1741119540.6618533,21,1741119540,661739110,base_link,0.0,0.4641549509051529,1.0,-0.049385456418355705,-0.0029733132755283688,0.000147018478282737,0.998775357369255
1741119540.705915,22,1741119540,705623149,base_link,0.0,0.5087661659051529,1.0,0.04891311721970644,0.004436323676856477,0.00021725661374865515,0.9987931611678411
1741119540.7508607,23,1741119540,750533342,base_link,0.0,0.5532586489051529,1.0,0.0944146121128414,-0.0036369839020287354,-0.00034492754049825653,0.9955262600216379
1741119540.7942905,24,1741119540,794151782,base_link,0.0,0.5973431979051528,1.0,0.14046744122564606,0.009379199459139766,0.0013307262113108724,0.9900399778497715
1741119540.8590827,25,1741119540,858762741,base_link,0.0,0.661966791905153,1.0,0.13865706795392302,-0.001167814914351349,-0.00016350529340669056,0.9903397533073011
1741119540.9066148,26,1741119540,906268596,base_link,0.0,0.709348431905153,1.0,0.14191069295042566,0.004269607209343421,0.0006121034845378127,0.9898700677411819
1741119540.9697936,27,1741119540,969220876,base_link,0.0,0.7696893129051531,1.0,0.12581654739493534,0.01100671920123463,0.0013960073585706806,0.9919914816657944
1741119541.0440001,28,1741119541,43821096,base_link,0.0,0.8470241939051529,1.0,0.1184018005286232,0.003940875287511634,0.0004699159553406152,0.9929578351131246
1741119541.1395502,29,1741119541,139351367,base_link,0.0,0.9398267189051529,1.0,0.06857712288572096,0.0049484096522249355,0.00034015267229676256,0.9976334876871314
1741119541.2341778,30,1741119541,233997821,base_link,0.0343449029051528,1.0,1.0,0.28452065318302977,0.20778296879090177,0.06331388688484442,0.9337374296451194
1741119541.2955928,31,1741119541,295473098,base_link,0.09866642090515265,1.0,1.0,0.24703431857210223,0.2270837381190744,0.05966984290335704,0.9401311244594412
1741119541.3434505,32,1741119541,343125343,base_link,0.14625238590515277,1.0,1.0,0.23035395682112156,0.22778996090065304,0.05555934191788521,0.9444373710391724
1741119541.4389565,33,1741119541,438354730,base_link,0.23879264990515292,1.0,1.0,0.15220960034085174,0.2057291991629155,0.03241087531273977,0.9661559239260118
1741119541.4977293,34,1741119541,497463226,base_link,0.3004152689051529,1.0,1.0,0.09351748156256123,0.1894804808055834,0.01813219575675278,0.9772527060657954
1741119541.5428975,35,1741119541,542484045,base_link,0.34564375090515265,1.0,1.0,0.019207791023884223,0.1356788588913046,0.0026309187104910526,0.990563166224484
1741119541.5903919,36,1741119541,590275526,base_link,0.3926041039051529,1.0,1.0,-0.022516358320455555,0.09704728955343246,-0.0021960822815199014,0.995022620054906
1741119541.6353106,37,1741119541,635186672,base_link,0.43831776790515287,1.0,1.0,-0.06203303107010795,0.040875400950261334,-0.0025426593019385736,0.9972334929880187
1741119541.6998014,38,1741119541,699094057,base_link,0.5020687499051526,1.0,1.0,-0.09518461279534733,0.002058159429770111,-0.00019679907010411202,0.995457490170669
1741119541.7919617,39,1741119541,791866064,base_link,0.5950858509051526,1.0,1.0,-0.1174701248076642,-0.07413654179925636,0.008794431818376316,0.9902662272927977
1741119541.8733351,40,1741119541,873180150,base_link,0.673598757905153,1.0,1.0,-0.10514383245991926,-0.07506632147836088,0.00795971907781743,0.9915878502419995
1741119541.9562113,41,1741119541,956047534,base_link,0.7592556389051528,1.0,1.0,-0.08477951465427036,-0.0864466140157824,0.0073834272376289275,0.9926151831512651
1741119542.0426073,42,1741119542,42303800,base_link,0.844872227905153,1.0,1.0,-0.057582353601986824,-0.09760849046227728,0.005657062349356598,0.9935415707402014
1741119542.0932536,43,1741119542,92831373,base_link,0.893102160905153,1.0,1.0,-0.038509271730742554,-0.0857528222004516,0.003316984865455484,0.9955664152063527
1741119542.176254,44,1741119542,175833225,base_link,0.9783759039051527,1.0,1.0,-0.009702281814286005,-0.04148511267716714,0.0004028660840370184,0.9990919321327129
1741119542.267339,45,1741119542,266787052,base_link,1.0,0.9326491440948472,1.0,0.2653828919719634,-0.2163679555189475,-0.061244905837381555,0.9375531398177483
1741119542.3587768,46,1741119542,358328580,base_link,1.0,0.8383822520948474,1.0,0.298930307789884,-0.205098356201333,-0.06595056196668447,0.9296374878114775
1741119542.4235942,47,1741119542,423287153,base_link,1.0,0.7734947290948471,1.0,0.28771094293295735,-0.18879289043775382,-0.057961594847352166,0.937133987943847
1741119542.471759,48,1741119542,471457481,base_link,1.0,0.7261946280948472,1.0,0.26818831626205014,-0.18026175920977675,-0.05115953906409463,0.9449674209991964
1741119542.5158346,49,1741119542,515484333,base_link,1.0,0.681361922094847,1.0,0.22999122033988353,-0.16706274177985292,-0.0401113863665851,0.9579066528421857
1741119542.5650737,50,1741119542,564946413,base_link,1.0,0.6319196310948474,1.0,0.18097343345077008,-0.14943542623352823,-0.027832325611470574,0.9716702277123141
1741119542.609482,51,1741119542,609195470,base_link,1.0,0.587618121094847,1.0,0.13206525853361117,-0.12246066891854997,-0.016443962276243135,0.9835099125891559
1741119542.6558266,52,1741119542,655575275,base_link,1.0,0.5414023480948473,1.0,0.0828115482340124,-0.09632343204842579,-0.008042102106270935,0.9918666082247202
1741119542.7045598,53,1741119542,704158782,base_link,1.0,0.4927027310948473,1.0,0.006946196059959689,-0.04881536927818842,-0.000339494083766278,0.9987836076079232
1741119542.7518795,54,1741119542,751761436,base_link,1.0,0.44507671209484734,1.0,-0.05151696888565407,-0.009476066856169398,0.0004888494115664472,0.9986270410418621
1741119542.7987657,55,1741119542,798168420,base_link,1.0,0.40145207309484743,1.0,-0.08144793577331035,0.012943934697881456,-0.0010578609144459921,0.9965929807313963
1741119542.8615396,56,1741119542,861414670,base_link,1.0,0.3360073650948472,1.0,-0.09384587798136815,0.0323270945294118,-0.0030488346804636683,0.9950570912024514
1741119542.906686,57,1741119542,906390190,base_link,1.0,0.29044652809484717,1.0,-0.12287198661908823,0.057041241031269264,-0.007074159578825826,0.9907566441826895
1741119542.9667041,58,1741119542,966547727,base_link,1.0,0.23028541409484715,1.0,-0.12522727823947052,0.0718642196044572,-0.009095039183301389,0.9894801377428608
