Time,linear.x,linear.y,linear.z,angular.x,angular.y,angular.z
1741119538.85409,-1.0502561330795288,-0.582597017288208,40066.65234375,0.0,0.0,-0.18169015645980835
1741119538.8600197,-1.055389165878296,-0.5365079641342163,39953.6953125,0.0,0.0,-0.3637908697128296
1741119538.8709888,-0.3031979203224182,0.026273341849446297,40039.94921875,0.0,0.0,-0.4610200524330139
1741119538.8805146,-0.7983546257019043,0.04601185396313667,39542.01171875,0.0,0.0,-0.26405686140060425
1741119538.8900926,-0.9878051280975342,-0.08998266607522964,39694.4921875,0.0,0.0,-0.18501515686511993
1741119538.9004092,-0.33579084277153015,-0.16661041975021362,40528.09765625,0.0,0.0,0.011671897023916245
1741119538.9105034,-1.3699856996536255,-0.4014594256877899,39523.4296875,0.0,0.0,0.3143942356109619
1741119538.9201808,-1.3267557621002197,-0.3627600073814392,39574.40234375,0.0,0.0,0.38357338309288025
1741119538.9351332,-0.6138908267021179,0.43378061056137085,39560.3046875,0.0,0.0,0.11290539056062698
1741119538.9411607,-0.9457878470420837,-0.2912110984325409,39953.68359375,0.0,0.0,0.047271404415369034
1741119538.9507105,-1.210952877998352,-0.8469372391700745,40139.23828125,0.0,0.0,-0.21851928532123566
1741119538.9616754,-0.9282292127609253,-0.34133756160736084,40183.140625,0.0,0.0,-0.14702552556991577
1741119538.9707778,-0.7113111615180969,-0.34657183289527893,40113.84765625,0.0,0.0,-0.25134140253067017
1741119538.9809058,0.12370302528142929,0.44336795806884766,40173.82421875,0.0,0.0,-0.25723034143447876
1741119538.9898574,-0.053219884634017944,0.09132891893386841,40010.37890625,0.0,0.0,-0.07333061099052429
1741119539.0006588,-0.343316912651062,0.19617213308811188,40062.6171875,0.0,0.0,0.2903435230255127
1741119539.0108247,-1.2549920082092285,-0.49416205286979675,39628.99609375,0.0,0.0,0.18774180114269257
1741119539.0207243,-1.571998953819275,-1.2207245826721191,39592.08203125,0.0,0.0,-0.1584780067205429
1741119539.0308735,-0.07042676210403442,0.15446631610393524,40180.11328125,0.0,0.0,-0.19812391698360443
1741119539.0406103,0.09371902048587799,0.3839031159877777,40419.30078125,0.0,0.0,0.15718628466129303
1741119539.0515144,-0.2928045094013214,0.1731327772140503,40395.41796875,0.0,0.0,0.474567174911499
1741119539.0602503,-0.3938133716583252,-0.07814259082078934,40173.21484375,0.0,0.0,0.5119900107383728
1741119539.0714278,-0.9679772853851318,-0.4427628517150879,39753.9765625,0.0,0.0,0.3981859087944031
1741119539.0803251,-0.6116272211074829,-0.3014076054096222,40071.58203125,0.0,0.0,0.09092120081186295
1741119539.0901234,-0.43677762150764465,-0.3273187279701233,40159.37109375,0.0,0.0,0.13948436081409454
1741119539.099943,-1.6566122770309448,-1.1334197521209717,39372.09375,0.0,0.0,0.027264220640063286
1741119539.110866,-1.5360406637191772,-0.9238471388816833,39263.23046875,0.0,0.0,-0.13659532368183136
1741119539.1201324,-0.0933106392621994,0.15967732667922974,40182.73828125,0.0,0.0,-0.12137822061777115
1741119539.1302953,0.002245133277028799,0.1591162234544754,39780.53515625,0.0,0.0,-0.03266839310526848
1741119539.1400316,-0.12096955627202988,-0.032673392444849014,40174.87109375,0.0,0.0,0.15548871457576752
1741119539.1510568,-0.748881459236145,-0.29342690110206604,39951.66015625,0.0,0.0,0.1725078523159027
1741119539.1603503,-0.8703134059906006,-0.5075379610061646,39769.59765625,0.0,0.0,-0.053516581654548645
1741119539.1705012,-0.7106421589851379,-0.5477239489555359,39812.8671875,0.0,0.0,0.012036873959004879
1741119539.1800587,-0.9003854393959045,-0.5783555507659912,39444.20703125,0.0,0.0,-0.20653276145458221
1741119539.1899981,-0.700870156288147,-0.4954167604446411,39659.58984375,0.0,0.0,-0.19640515744686127
1741119539.2003763,0.11758791655302048,-0.2305348962545395,40527.17578125,0.0,0.0,0.057050738483667374
1741119539.2104788,-0.39111602306365967,-0.1523672640323639,39924.15234375,0.0,0.0,0.0354791134595871
1741119539.220089,-0.41613784432411194,-0.159806489944458,40132.8515625,0.0,0.0,0.05966466665267944
1741119539.2306957,-0.38420554995536804,-0.22446705400943756,39943.64453125,0.0,0.0,-0.0016203256091102958
1741119539.2414768,-0.5293962955474854,-0.4497315585613251,39872.625,0.0,0.0,-0.10812206566333771
1741119539.2517629,-0.4560497999191284,-0.567807137966156,39960.3125,0.0,0.0,0.004626406356692314
1741119539.2606535,-0.6724343299865723,-0.5319163203239441,39755.12890625,0.0,0.0,0.13268925249576569
1741119539.2719316,-0.807963490486145,-0.695499062538147,39772.40625,0.0,0.0,0.07485026121139526
1741119539.281196,-0.40192702412605286,-0.4331128001213074,40033.69140625,0.0,0.0,0.2308478206396103
1741119539.2901556,-0.6858516931533813,-0.5678238868713379,39783.0390625,0.0,0.0,0.1852399706840515
1741119539.3010187,-0.36362242698669434,-0.3788996636867523,39823.671875,0.0,0.0,0.07684031873941422
1741119539.3103454,-1.2816625833511353,-1.0488742589950562,39366.46875,0.0,0.0,0.016783710569143295
1741119539.3216813,-0.6480893492698669,-0.4989641010761261,39827.83984375,0.0,0.0,0.2489228993654251
1741119539.331955,-0.005394409876316786,-0.4093123972415924,40246.26171875,0.0,0.0,0.23029793798923492
1741119539.3418334,-0.3168562650680542,-0.6195424199104309,40222.0234375,0.0,0.0,0.015896707773208618
1741119539.3526149,-0.6618099808692932,-0.5290682911872864,39572.3359375,0.0,0.0,0.008489353582262993
1741119539.3642,-0.6935433149337769,-0.5235229730606079,39612.24609375,0.0,0.0,0.05954640731215477
1741119539.3706973,-1.18063223361969,-1.202810525894165,39249.7578125,0.0,0.0,0.001100681023672223
1741119539.3815913,-0.6376850605010986,-0.703186571598053,39876.2265625,0.0,0.0,-0.11304370313882828
1741119539.3910723,-0.667412519454956,-0.7892524003982544,39671.37890625,0.0,0.0,-0.1370745599269867
1741119539.4023938,-0.5887604355812073,-0.6488552689552307,39676.546875,0.0,0.0,0.12951259315013885
1741119539.6291783,-1.3574990382145733,1.0295148872366373,50906.01824418462,0.0,0.0,0.0
1741119539.7056208,-0.20168391241998637,2.3640393632295735,52063.76159225014,0.0,0.0,0.0
1741119539.7465255,-0.4700529706704781,1.8133480094378314,51748.74450001161,0.0,0.0,0.0
1741119539.8253853,-0.5133705407229867,1.8631636721538465,51334.848525980036,0.0,0.0,0.0
1741119539.87015,-0.6676035620677389,1.4755319750714544,50825.66062477655,0.0,0.0,0.0
1741119539.9521868,-0.779800922219631,0.015113473627435054,49859.61739622696,0.0,0.0,0.0
1741119539.9935136,-1.442188284174397,0.040020618433087796,48584.4263860787,0.0,0.0,0.0
1741119540.0339663,-1.1390316595765617,-0.09891945079271011,48122.44759022143,0.0,0.0,0.0
1741119540.0932047,-1.617788709263924,-1.1655067570759725,47690.2869575984,0.0,0.0,0.0
1741119540.1375484,-1.4250456722383373,-0.9231173639344368,46802.245406844144,0.0,0.0,0.0
1741119540.1797564,-1.6535032111330175,-1.0470090177153673,46595.68604359368,0.0,0.0,0.0
1741119540.221441,0.955166448792661,-35.95199570971806,38521.8681450875,0.0,0.0,0.0
1741119540.2628121,0.23670036440791214,-36.38156631096076,37054.76677039891,0.0,0.0,0.0
1741119540.303628,1.2148889684091266,-37.90987683063778,38455.958941389064,0.0,0.0,0.0
1741119540.3449016,0.6363688112565004,-38.09383068547254,40845.53890193946,0.0,0.0,0.0
1741119540.3856866,-0.09416335031084358,-36.56231699736365,39400.42118444255,0.0,0.0,0.0
1741119540.4272006,-0.4527484309254849,-33.19671596840033,38574.53041882585,0.0,0.0,0.0
1741119540.4718957,-0.3769429087999058,-28.926372593212804,37867.17017938336,0.0,0.0,0.0
1741119540.5296533,-0.6603634596204293,-21.17867102184409,35444.07476530432,0.0,0.0,0.0
1741119540.6169312,-0.2363109582679416,-8.024678271347517,33099.298939408196,0.0,0.0,0.0
1741119540.6617374,-0.34943600399753466,-5.660979710284313,32584.10220236787,0.0,0.0,0.0
1741119540.7056267,0.5594603526635802,5.602526578327278,31703.08981963107,0.0,0.0,0.0
1741119540.7511125,-0.2738789964665038,10.839898559932571,31809.52820420345,0.0,0.0,0.0
1741119540.794567,1.3488751275360158,16.131189218750908,34341.13611534984,0.0,0.0,0.0
1741119540.8590658,0.32988426800067816,15.937531845368822,35049.951284070165,0.0,0.0,0.0
1741119540.9065762,0.9786358562484364,16.295719385141652,37039.7160615092,0.0,0.0,0.0
1741119540.9696352,1.5917792816226761,14.425629660632351,38525.55473399087,0.0,0.0,0.0
1741119541.0440156,1.0429634725523225,13.568039500834983,38608.43613684874,0.0,0.0,0.0
1741119541.1398304,0.784027261627267,7.846181645482023,39114.39322925261,0.0,0.0,0.0
1741119541.234402,21.389055599573005,36.161729926958806,42193.894529003825,0.0,0.0,0.0
1741119541.2956195,24.11071964706496,31.910862446805837,42107.8271250666,0.0,0.0,0.0
1741119541.3435187,24.30799258331193,29.893086499961385,44769.96186357583,0.0,0.0,0.0
1741119541.4390328,23.739506960558824,18.31486178018354,43942.680244816795,0.0,0.0,0.0
1741119541.497407,22.288890846260696,10.184770316863148,42790.831945013175,0.0,0.0,0.0
1741119541.542786,15.705309074451598,1.2306528314793055,40141.29340351483,0.0,0.0,0.0
1741119541.590555,11.009252651665395,-3.111079802616265,39454.67147329186,0.0,0.0,0.0
1741119541.6355703,4.328822992885903,-7.346271068394296,38574.409785638105,0.0,0.0,0.0
1741119541.6994076,-0.07633905244347809,-10.926188734593792,39403.50575230647,0.0,0.0,0.0
1741119541.7919915,-8.285147424803412,-13.70003609830121,41863.25544338248,0.0,0.0,0.0
1741119541.8731432,-8.077342328820166,-12.497546199271607,42364.69867349607,0.0,0.0,0.0
1741119541.956064,-9.570776840926037,-10.140017536843544,43355.96350566324,0.0,0.0,0.0
1741119542.0425887,-10.972126877672547,-7.042298241176549,43084.182955258366,0.0,0.0,0.0
1741119542.0927892,-9.708870721529014,-4.7254280804944395,42852.57856638211,0.0,0.0,0.0
1741119542.1761491,-4.764354112378976,-1.0738496475028356,42284.2612068284,0.0,0.0,0.0
1741119542.267244,-21.360404915851205,34.71679669395384,39509.08167946704,0.0,0.0,0.0
1741119542.3585203,-20.396359950930673,38.1442394011939,42881.92487113525,0.0,0.0,0.0
1741119542.423569,-21.773227807323508,34.736003538729264,47843.42911306827,0.0,0.0,0.0
1741119542.4718764,-21.27108864694868,31.896920728397724,47275.25892887013,0.0,0.0,0.0
1741119542.5155072,-20.70438694300737,26.327698274831175,46149.87409282145,0.0,0.0,0.0
1741119542.564978,-19.38460428127585,19.38496274439758,44031.715625675686,0.0,0.0,0.0
1741119542.6095169,-15.92675573747447,13.479442719697687,42183.61250962845,0.0,0.0,0.0
1741119542.655514,-12.224248389437133,8.036568982042617,40656.62054143999,0.0,0.0,0.0
1741119542.7044458,-5.651783718276786,0.08816993375510948,38970.06766498649,0.0,0.0,0.0
1741119542.751905,-0.37969984779988836,-5.99322379246894,38388.11432808671,0.0,0.0,0.0
1741119542.7988467,2.361752229138167,-9.16419920094671,38661.67942847376,0.0,0.0,0.0
1741119542.8614304,4.0817262640909755,-10.645602354739841,40949.090340063376,0.0,0.0,0.0
1741119542.9067082,6.906103955093542,-13.990033662302897,41807.86809749883,0.0,0.0,0.0
1741119542.9667735,8.558289056694045,-14.280844836441393,41783.4311623191,0.0,0.0,0.0
1741119543.0116062,9.061026088942011,-13.853070736312972,42281.239182929006,0.0,0.0,0.0
1741119543.0565982,8.395919787164065,-12.197013654448542,42200.929557875665,0.0,0.0,0.0
1741119543.1031756,7.866261850970995,-10.940763562432457,41989.362795367844,0.0,0.0,0.0
1741119543.1497257,6.052698990496782,-8.711671168393744,41424.79821921186,0.0,0.0,0.0
1741119543.194821,5.588387364192811,-7.446251554859513,41060.07395224755,0.0,0.0,0.0
1741119543.2426956,-18.32509250716313,-35.2618430268768,40189.27960713679,0.0,0.0,0.0
1741119543.2902253,-19.975772645122717,-34.81267500734531,39464.365195098864,0.0,0.0,0.0
1741119543.3379781,-21.69237480298193,-35.006063019130565,40911.559805392084,0.0,0.0,0.0
1741119543.383602,-24.0454848803331,-31.213510034939254,45471.60639626228,0.0,0.0,0.0
1741119543.4286592,-24.859617753908406,-27.552326832920844,46121.76931133201,0.0,0.0,0.0
1741119543.474394,-25.143687006782578,-21.466468671570098,44810.91643480668,0.0,0.0,0.0
1741119543.5399764,-24.386907573231152,-13.731878491270411,43784.52064792639,0.0,0.0,0.0
1741119543.5879657,-20.114725828857363,-5.235478487846459,41847.8071905936,0.0,0.0,0.0
1741119543.6535993,-13.994280245730492,2.176165031401517,40226.00513199507,0.0,0.0,0.0
1741119543.70091,-9.10845161890183,5.521667113968479,39631.50735284837,0.0,0.0,0.0
1741119543.748074,-2.391072852601434,9.29357156225673,39332.3120561154,0.0,0.0,0.0
1741119543.8110723,2.812112783436047,11.868849302842833,40065.59527789525,0.0,0.0,0.0
1741119543.8562472,5.577131534968268,12.923473931040006,40688.575030901586,0.0,0.0,0.0
1741119543.9053822,9.00014690226476,13.87062098416429,41056.60007501374,0.0,0.0,0.0
1741119543.979013,11.842153304180476,12.666584562655062,42447.624720041815,0.0,0.0,0.0
